Date,Open,High,Low,Close,Adj Close,Volume
2019.4.3,46750,46750,45800,46600,43221.28516,12436570
2019.4.4,46150,47100,46150,46950,43545.91797,12650168
2019.4.5,46950,47550,46600,46850,43453.16406,8546339
2019.4.8,47250,47250,46150,46650,43267.66797,8507909
2019.4.9,46700,46950,46200,46650,43267.66797,6878761
2019.4.10,46400,46700,46050,46700,43314.04297,11883995
2019.4.11,46700,46800,46150,46250,42896.66406,13697399
2019.4.12,46050,46900,46000,46850,43453.16406,7668936
2019.4.15,47150,47500,47000,47050,43638.66016,8733019
2019.4.16,47400,47400,46800,47250,43824.16797,7730881
2019.4.17,47300,47600,47000,47050,43638.66016,5513658
2019.4.18,47200,47250,45500,45600,42293.79297,12808747
2019.4.19,45750,46000,45250,45300,42015.54297,8479710
2019.4.22,45400,45900,45100,45350,42061.92188,6006957
2019.4.23,45050,45500,45000,45200,41922.80078,6920566
2019.4.24,45400,45650,44150,44750,41505.42578,13299267
2019.4.25,44250,45000,44100,44650,41412.67969,10868965
2019.4.26,44200,45000,43800,44850,41598.17969,9739982
2019.4.29,45150,46150,45100,46150,42803.91797,8777517
2019.4.30,46000,46300,45350,45850,42525.67188,11121273
2019.5.2,45500,46150,45400,45900,42572.04297,8625126
2019.5.3,45900,46050,45300,45300,42015.54297,6562916
2019.5.7,45250,45300,44400,44850,41598.17969,12014907
2019.5.8,44300,44850,44200,44250,41041.67578,10398754
2019.5.9,43900,44250,42450,42450,39372.1875,23029718
2019.5.10,42600,43450,42450,42900,39789.56641,14579512
2019.5.13,42500,43200,42350,42650,39557.6875,7635079
2019.5.14,41300,43100,41300,42650,39557.6875,11563730
2019.5.15,42700,43050,42550,42550,39464.92969,7670185
2019.5.16,42350,42400,41350,41550,38537.4375,13687828
2019.5.17,41950,42050,40850,41200,38212.82031,13357951
2019.5.20,41650,42100,41550,42000,38954.8125,15752397
2019.5.21,42600,43950,42350,43150,40021.42969,18812133
2019.5.22,43700,43800,42400,43500,40346.05859,11033339
2019.5.23,43900,44000,43250,43850,40670.68359,12259006
2019.5.24,43800,43800,42400,42700,39604.0625,13966305
2019.5.27,42500,43000,42350,42650,39557.6875,8066669
